# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
0.10751944      	smoothSolver	4.44496280e-04	2.37845810e-09	3	2.65687360e-03	3.72405690e-10	4	6.01282330e-03	6.72449260e-09	4	false	GAMG	6.73933160e-03	5.09894150e-05	4	true
0.10897971      	smoothSolver	4.43415980e-04	2.35900790e-09	3	2.65209060e-03	3.70192840e-10	4	5.92701020e-03	6.48479570e-09	4	false	GAMG	6.10996250e-03	4.93860270e-05	4	true
0.11044131      	smoothSolver	4.42201270e-04	2.33749910e-09	3	2.64384280e-03	3.67279880e-10	4	6.14707940e-03	6.44841090e-09	4	false	GAMG	6.43510960e-03	5.06114400e-05	4	true
0.11190424      	smoothSolver	4.40691560e-04	2.31671610e-09	3	2.63420360e-03	3.64011260e-10	4	6.66012020e-03	8.19088980e-09	4	false	GAMG	6.96945910e-03	5.04749460e-05	4	true
0.11336849      	smoothSolver	4.39406890e-04	2.29964210e-09	3	2.62934240e-03	3.61813650e-10	4	6.07223920e-03	7.08565480e-09	4	false	GAMG	6.15851070e-03	5.00842880e-05	4	true
0.11483405      	smoothSolver	4.38127440e-04	2.27984360e-09	3	2.62089040e-03	3.58965790e-10	4	5.98262660e-03	6.83263600e-09	4	false	GAMG	5.96346700e-03	4.78381190e-05	4	true
0.11630092      	smoothSolver	4.36886110e-04	2.26127370e-09	3	2.61260500e-03	3.56836550e-10	4	5.85496820e-03	6.43772800e-09	4	false	GAMG	5.44893540e-03	5.07806510e-05	4	true
0.11776908      	smoothSolver	4.35676120e-04	2.24235850e-09	3	2.60480420e-03	3.54332650e-10	4	5.73435230e-03	6.05966490e-09	4	false	GAMG	5.26503330e-03	4.78443310e-05	4	true
0.11923853      	smoothSolver	4.34416220e-04	2.22437310e-09	3	2.59741350e-03	3.52043680e-10	4	5.70455280e-03	6.18736390e-09	4	false	GAMG	6.25536260e-03	4.76442360e-05	4	true
0.12070927      	smoothSolver	4.32973680e-04	2.20512980e-09	3	2.58837290e-03	3.49314850e-10	4	5.79475360e-03	6.61167770e-09	4	false	GAMG	6.54374120e-03	5.01903060e-05	4	true
0.12218128      	smoothSolver	4.31899870e-04	2.18954370e-09	3	2.58204230e-03	3.46978570e-10	4	5.54183360e-03	5.93860860e-09	4	false	GAMG	5.57811080e-03	4.75646230e-05	4	true
0.12365456      	smoothSolver	4.30722110e-04	2.17474630e-09	3	2.57533380e-03	3.44922440e-10	4	5.60958230e-03	5.90727270e-09	4	false	GAMG	5.01457300e-03	4.61548560e-05	4	true
0.1251291       	smoothSolver	4.29408110e-04	2.15890820e-09	3	2.56730260e-03	3.42693000e-10	4	5.67344510e-03	5.83084510e-09	4	false	GAMG	5.31310550e-03	4.39759230e-05	4	true
0.12660489      	smoothSolver	4.28042080e-04	2.14374650e-09	3	2.55960290e-03	3.40516720e-10	4	5.62994600e-03	5.90666110e-09	4	false	GAMG	5.39467620e-03	4.96293680e-05	4	true
0.12808193      	smoothSolver	4.26898720e-04	2.12928830e-09	3	2.55179660e-03	3.38410810e-10	4	5.49066770e-03	5.59604990e-09	4	false	GAMG	5.37403400e-03	4.39140610e-05	4	true
0.12956021      	smoothSolver	4.25603890e-04	2.11535030e-09	3	2.54382710e-03	3.36436090e-10	4	5.64653930e-03	5.81045250e-09	4	false	GAMG	5.76040840e-03	4.73395230e-05	4	true
0.13103973      	smoothSolver	4.24289490e-04	2.10049910e-09	3	2.53415540e-03	3.34127800e-10	4	6.27925850e-03	6.34856920e-09	4	false	GAMG	4.89847060e-03	4.45223040e-05	4	true
0.13252047      	smoothSolver	4.22989730e-04	2.08752500e-09	3	2.52566330e-03	3.32211670e-10	4	5.48430230e-03	5.45720810e-09	4	false	GAMG	5.29904820e-03	4.48307820e-05	4	true
0.13400244      	smoothSolver	4.21618300e-04	2.07419780e-09	3	2.51608990e-03	3.30104640e-10	4	5.47614240e-03	5.36958340e-09	4	false	GAMG	5.45622730e-03	4.52858550e-05	4	true
