signal,phase_rad,phase_deg,mean_value,scaled_value
Cl_v,2.290744643242557,131.24999999999997,0.0037013982372583964,0.6984411639223426
Cl_v,2.421644337142132,138.75,0.00524967679632902,1.05293504161862
Cl_v,2.5525440310417067,146.25,0.008043298046889944,1.692562597089336
Cl_v,2.6834437249412817,153.75,0.006843678906303019,1.417897784085272
Cl_v,2.8143434188408563,161.25,0.0053702855135234215,1.0805496149728369
Cl_v,2.945243112740431,168.75,0.005402235829872192,1.0878649597922454
Cl_v,3.0761428066400054,176.24999999999997,0.004203279986901917,0.8133520154185484
Cl_v,3.2070425005395804,183.75,-0.0005138891789665029,-0.26669109411193365
Cl_v,3.337942194439155,191.25,-0.0009601531175209527,-0.36886769090543353
Cl_v,3.4688418883387295,198.74999999999997,-0.0022519229792185855,-0.6646313341346297
Cl_v,3.5997415822383045,206.25,-0.0037384759746251794,-1.00499252602443
Cl_v,3.730641276137879,213.75,-0.005577412950737558,-1.4260355584180653
Cl_v,3.8615409700374537,221.24999999999997,-0.003978262093615397,-1.0598939587418135
Cl_v,3.9924406639370282,228.74999999999997,-0.006902704591824537,-1.7294743486635333
Cl_v,4.123340357836604,236.25,-0.007033380823202336,-1.7593939801875003
Cl_v,4.254240051736177,243.74999999999994,-0.008676385135826855,-2.1355762675683887
Cl_v,4.385139745635753,251.25,-0.008004735797591072,-1.981795426925435
Cl_v,4.5160394395353265,258.74999999999994,-0.008191411642141938,-2.0245367305618984
Cl_v,4.646939133434902,266.25,-0.001402609918974465,-0.47017260554204643
Cl_v,4.777838827334477,273.75,-0.0013211207363396057,-0.45151484129588165
Cl_v,4.908738521234051,281.24999999999994,0.003054771133559892,0.5503894144030627
Cl_v,5.0396382151336265,288.75,0.005965356458926254,1.2167970658623366
Cl_v,5.1705379090332,296.24999999999994,0.007870829983758992,1.6530743072593994
Cl_v,5.301437602932776,303.75,0.0007498224965602466,0.02264834647067222
Cl_v,5.43233729683235,311.25,-0.0030042699231776567,-0.8368886995644571
Cl_v,5.563236990731925,318.74999999999994,0.003804698169417439,0.7220927176445634
Cl_v,5.6941366846315,326.25,0.004090505030941467,0.7875310601316365
Cl_v,5.825036378531074,333.74999999999994,0.00498174982965296,0.9915904800731768
Cl_v,5.955936072430649,341.25,0.0069726643550374785,1.4474302939946773
Cl_v,6.086835766330223,348.74999999999994,0.005949822072724142,1.2132403126087594
Cl_v,6.2177354602297985,356.25,0.004631710278473064,0.9114454201820739
