station,theta_deg,z_m,Nu_mean,Nu_rms
side_minus90deg,-88.125,-0.005,4.1743591758226986,0.029534136365307904
side_minus90deg,-88.125,-0.0046,5.6713200124845535,0.040074116300531946
side_minus90deg,-88.125,-0.004200000000000001,6.8568300824817054,0.04916681565673012
side_minus90deg,-88.125,-0.0038,8.322908057967858,0.0619387432535329
side_minus90deg,-88.125,-0.0034000000000000002,8.73886332099908,0.06562675820675846
side_minus90deg,-88.125,-0.003,9.791271653240626,0.07146785138284499
side_minus90deg,-88.125,-0.0026,10.203324707031069,0.07283877177734756
side_minus90deg,-88.125,-0.0021999999999999997,10.470897770433286,0.07425862215156646
side_minus90deg,-88.125,-0.0018,10.702396411484395,0.0756283179383908
side_minus90deg,-88.125,-0.0013999999999999998,10.852575368436343,0.07654923992884281
side_minus90deg,-88.125,-0.0009999999999999996,10.939128612708524,0.07708358149736771
side_minus90deg,-88.125,-0.0005999999999999998,10.989713082480714,0.07739206615222459
side_minus90deg,-88.125,-0.0002000000000000001,11.009379489072114,0.07750444738417311
side_minus90deg,-88.125,0.0002000000000000001,11.0108078154251,0.07749345263678899
side_minus90deg,-88.125,0.0006000000000000003,10.989103094411956,0.07733238787410562
side_minus90deg,-88.125,0.0010000000000000005,10.938083930528682,0.07697972696854985
side_minus90deg,-88.125,0.0014000000000000002,10.851125615201967,0.07639697956632528
side_minus90deg,-88.125,0.0018,10.739164431264347,0.07566832033594142
side_minus90deg,-88.125,0.0022000000000000006,10.521262602067532,0.0743061607371526
side_minus90deg,-88.125,0.0026000000000000007,10.204125939329227,0.07252923480718282
side_minus90deg,-88.125,0.003,9.797059672649628,0.07113867905310921
side_minus90deg,-88.125,0.0034000000000000002,9.32205962552309,0.06987629753283872
side_minus90deg,-88.125,0.0038000000000000004,8.535691027021862,0.06383846965760817
side_minus90deg,-88.125,0.004200000000000001,6.894494589571452,0.049858286113311195
side_minus90deg,-88.125,0.004600000000000001,5.485537439531575,0.038758963548034014
side_minus90deg,-88.125,0.005,4.051263769961551,0.028791633475997037
side_minus90deg,-88.125,0.0054,2.535453116523383,0.018825634222396644
side_minus90deg,-88.125,0.0058000000000000005,1.008759819888689,0.008034554903965117
wake_180deg,178.125,-0.0058,2.3719972320281566,0.018005813677536214
wake_180deg,178.125,-0.0054,6.461468872789796,0.04996553124512139
wake_180deg,178.125,-0.005,10.410424514115151,0.08067222192768417
wake_180deg,178.125,-0.0046,13.821839890913097,0.10752446092151864
wake_180deg,178.125,-0.004200000000000001,15.909031005202813,0.12420102104544306
wake_180deg,178.125,-0.0038,17.18713530631591,0.13212371816397905
wake_180deg,178.125,-0.0034000000000000002,17.830826308298647,0.13435333334657754
wake_180deg,178.125,-0.003,18.38869117137554,0.137322310581326
wake_180deg,178.125,-0.0026,18.50564238388791,0.13795028939761605
wake_180deg,178.125,-0.0021999999999999997,18.46056314135896,0.1375294445926175
wake_180deg,178.125,-0.0018,18.35861963223243,0.13684914686663657
wake_180deg,178.125,-0.0013999999999999998,18.233066399561356,0.1359658722967453
wake_180deg,178.125,-0.0009999999999999996,18.146586409583907,0.13524645199884794
wake_180deg,178.125,-0.0005999999999999998,18.088651707146187,0.13476216808092395
wake_180deg,178.125,-0.0002000000000000001,18.062258745610993,0.13454093273513457
wake_180deg,178.125,0.0002000000000000001,18.064284814356654,0.1345562434944962
wake_180deg,178.125,0.0006000000000000003,18.08853333760562,0.13475999582875772
wake_180deg,178.125,0.0010000000000000005,18.146429936008705,0.1352422501835235
wake_180deg,178.125,0.0014000000000000002,18.23287011485212,0.13595980824429132
wake_180deg,178.125,0.0018,18.322239652067896,0.1367061096653414
wake_180deg,178.125,0.0022000000000000006,18.44841051051957,0.13759855288818207
wake_180deg,178.125,0.0026000000000000007,18.505270044070148,0.13793519814344102
wake_180deg,178.125,0.003,18.388326407037805,0.13730268365378792
wake_180deg,178.125,0.0034000000000000002,17.830482036169702,0.13432485574085687
wake_180deg,178.125,0.0038000000000000004,17.28733313772965,0.13217248431408982
wake_180deg,178.125,0.004200000000000001,16.2676636539208,0.12675517417832943
wake_180deg,178.125,0.004600000000000001,13.821546688206523,0.1074713045023274
wake_180deg,178.125,0.005,10.410222696998442,0.08062857809497698
wake_180deg,178.125,0.0054,6.46135501747522,0.04993622760454997
wake_180deg,178.125,0.0058000000000000005,2.3719574760709228,0.01799543616217514
