theta_rad,theta_deg,z_m,Nu_mean,Nu_rms,A1,phase1_rad,A2,asym_mean_minus_opposite
0.42542400517361756,24.374999999999986,-0.0058,0.11946716355391362,0.006139345415743675,0.0016424052387269158,0.08674304230400177,0.0015906233442476933,-0.037272964666454966
0.49087385212340506,28.124999999999993,-0.0058,0.11455762398045645,0.0056393174903383095,0.0013839074070391701,0.07438196708485818,0.0015710316610672548,-0.037048206123571056
0.5563236990731923,31.87499999999999,-0.0058,0.1131471711516488,0.005213806173703313,0.0011289829719989685,0.07299135810939633,0.0015329177197995981,-0.0353932971497431
0.6217735460229796,35.624999999999986,-0.0058,0.10868623796914649,0.0044757282850880886,0.0008591940017778882,0.07673502277240173,0.0013522534226904973,-0.030217461386989372
0.6872233929727669,39.37499999999998,-0.0058,0.11731069536170702,0.003934665848114855,0.0006424286702833703,0.057923538383313974,0.0012090558025585844,-0.02578739050529999
0.7526732399225542,43.12499999999998,-0.0058,0.13455195223967228,0.0036291291886151942,0.0005146613045533078,-0.05601770110062105,0.001109488228025405,-0.02166041621032111
0.8181230868723417,46.874999999999986,-0.0058,0.15855567035931709,0.003947315825830722,0.0005186486755252344,-0.20788918352534652,0.00118162895502113,-0.020194738037771692
0.8835729338221292,50.62499999999999,-0.0058,0.18033097664980874,0.004632248293600996,0.0005732882036263103,-0.3648875470499065,0.0013426210192660716,-0.018561493918835353
0.9490227807719163,54.37499999999998,-0.0058,0.23416132916081048,0.0065215185907567886,0.0007718033036141009,-0.49239085269367017,0.001835150214749765,-0.019230078917797738
1.0144726277217035,58.12499999999997,-0.0058,0.2909029826852197,0.008260790676228336,0.000974796802162674,-0.5399153398891772,0.0023064730845825014,-0.02162256343100244
1.0799224746714913,61.87499999999999,-0.0058,0.315498388965063,0.008915485968462639,0.0010578143458640622,-0.5634443672641936,0.00248614096922866,-0.022185495582379977
1.1453723216212786,65.62499999999999,-0.0058,0.41687331386436677,0.01127708595934024,0.0013822579961523533,-0.6175449277933308,0.003151355605994504,-0.026919197929921646
1.2108221685710658,69.37499999999999,-0.0058,0.46484192728944107,0.01164340342719096,0.0015112572607799432,-0.6806011359270034,0.0032669887678573287,-0.0268506627020344
1.2762720155208531,73.12499999999999,-0.0058,0.568670067756576,0.011871765486012913,0.0017735795481425207,-0.8056081803950357,0.003359986627034162,-0.022858339562684016
1.3417218624706404,76.87499999999997,-0.0058,0.6201921984505446,0.011421454085375636,0.001901270616013395,-0.8849357720223033,0.0032420242714298318,-0.018949147512235198
1.4071717094204277,80.62499999999997,-0.0058,0.8084816340832747,0.013097587077369945,0.0024759106389654166,-0.967733789176345,0.0036998376556889446,-0.019818070933395382
1.472621556370215,84.37499999999997,-0.0058,0.9357188713660042,0.013415081938415119,0.0028565489446479957,-1.0365944860368865,0.0037498606980514177,-0.013999312900189631
1.5380714033200027,88.12499999999999,-0.0058,1.0082017015305418,0.012806516319938973,0.0030552069629090693,-1.0973488910670386,0.003517211522544207,-0.022696228347966363
1.60352125026979,91.87499999999999,-0.0058,1.0885280891209987,0.012799089652337616,0.0033022667465789587,-1.136133626011345,0.00343748472929168,-0.004924547485465336
