time,Cl,Nu_upper_mean,Nu_lower_mean,Nu_upper_minus_lower
4.86,2.31569791,8.471077161268944,8.510408817676907,-0.03933165640796332
4.865,2.29988133,8.45912783028567,8.499466519214664,-0.04033868892899406
4.87,2.29303825,8.448299084933181,8.486658677838323,-0.03835959290514168
4.875,2.29549878,8.43856343663946,8.472037298792982,-0.033473862153520884
4.88,2.30712319,8.429877725729156,8.455730829980487,-0.025853104251330805
4.885,2.3274903,8.444262940060593,8.460060818787149,-0.01579787872655558
4.89,2.35573277,8.459547374280058,8.46312623918347,-0.0035788649034120823
4.895,2.39066081,8.475590995161726,8.46523741002126,0.010353585140466137
4.9,2.43071717,8.492201680279088,8.466738538224515,0.025463142054572785
4.905,2.47411054,8.509144756194328,8.467991571413338,0.04115318478099006
4.91,2.51887875,8.526163238514583,8.469355910004598,0.0568073285099846
4.915,2.56296362,8.543091855852579,8.471119196254055,0.07197265959852395
4.92,2.60435042,8.559468965094633,8.473724118693578,0.08574484640105418
4.925,2.64110139,8.575077259757952,8.47739373852583,0.09768352123212232
4.93,2.67153833,8.589646945053609,8.482424975311968,0.10722196974164078
4.935,2.6943116,8.603160156150564,8.488831954180405,0.11432820197015836
4.94,2.70844606,8.61541258843073,8.496855088527807,0.11855749990292352
4.945,2.71341423,8.626362162828551,8.506555702561402,0.11980646026714936
4.95,2.70911306,8.636055847478818,8.517902099064637,0.11815374841418169
4.955,2.69589704,8.644595374919387,8.530789146095804,0.1138062288235826
4.96,2.67448896,8.652132371996673,8.54506122395553,0.10707114804114326
4.965,2.64600259,8.643302607779868,8.545126527790426,0.09817607998944133
4.97,2.61175912,8.63389014415805,8.54607774704022,0.08781239711782973
4.975,2.57336971,8.624140841446536,8.547622369298413,0.07651847214812335
4.98,2.53252494,8.614307768927564,8.549444352156522,0.06486341677104157
4.985,2.49093656,8.604621455769987,8.55121537774765,0.053406078022337766
4.99,2.45037987,8.595345438975015,8.55256451460436,0.04278092437065517
4.995,2.4124993,8.586595633227486,8.553279606873277,0.033316026354208716
5.0,2.37884327,8.578486179756625,8.553082200640135,0.02540397911648995
5.005,2.35072404,8.571199290759722,8.551773807808777,0.01942548295094504
5.01,2.32924548,8.564812542184916,8.549184513472712,0.0156280287122037
5.015,2.31530173,8.559366620797098,8.545198395073381,0.014168225723716787
5.02,2.30943747,8.55487327973513,8.53976510400639,0.015108175728739681
5.025,2.31193504,8.551311234283254,8.532896364705842,0.018414869577412674
5.03,2.32269401,8.548635657475295,8.524663119159658,0.02397253831563617
5.035,2.34132935,8.546768124741856,8.515184055081273,0.03158406966058358
5.04,2.36710577,8.54559248122719,8.504632398690266,0.04096008253692496
5.045,2.39893762,8.556367156745099,8.504568190987388,0.051798965757710036
5.05,2.43547736,8.567495988060239,8.503881525966872,0.06361446209336741
5.055,2.47509119,8.578749645434144,8.50284092508226,0.07590872035188312
5.06,2.51604403,8.589875901929709,8.501729682843,0.08814621908670972
5.065,2.55641055,8.600691525206678,8.500791978548374,0.09989954665830325
5.07,2.59434008,8.610795929722741,8.500417954902247,0.11037797482049427
5.075,2.62805436,8.619993759531166,8.500831699957795,0.11916205957337134
5.08,2.65602391,8.628103067472974,8.502285723213259,0.12581734425971547
5.085,2.67697263,8.634994112044014,8.505004233924344,0.12998987811966956
5.09,2.68996748,8.640597437379327,8.509161298265537,0.1314361391137897
5.095,2.69446811,8.64491360684778,8.514860855244978,0.13005275160280227
5.1,2.6902833,8.648012286114643,8.522124665097117,0.12588762101752593
5.105,2.67770735,8.65003224888007,8.530903778955432,0.11912846992463777
5.11,2.65736599,8.6511569305184,8.54108682903376,0.11007010148463969
5.115,2.63015423,8.651613296516024,8.552495874968166,0.09911742154785763
5.12,2.59735625,8.651663998386303,8.564896443953113,0.08676755443318918
5.125,2.5604201,8.638282491778812,8.564817027965958,0.07346546381285357
5.13,2.52099567,8.62504953086635,8.56509365815812,0.05995587270823144
5.135,2.48077983,8.61220383905047,8.56538524301903,0.04681859603143934
5.14,2.44150908,8.59995867134357,8.565354488215183,0.03460418312838698
5.145,2.40491289,8.588555014916833,8.564626600835318,0.02392841408151547
5.15,2.37253274,8.577988192479374,8.563013851321143,0.014974341158231042
5.155,2.34576421,8.568438738916853,8.560312218561023,0.00812652035583028
5.16,2.32571413,8.559980324621929,8.556333373624236,0.003646950997692855
5.165,2.31322906,8.552639786838913,8.55095713400083,0.0016826528380828876
5.17,2.30882986,8.546406624251462,8.54413641059196,0.002270213659501863
5.175,2.31268534,8.541254604456396,8.53589618241781,0.005358422038586497
5.18,2.32466382,8.537121162041087,8.526319564418328,0.010801597622759118
5.185,2.34420622,8.53391452569315,8.515544463067785,0.018370062625365335
5.19,2.3705839,8.531508830480647,8.503768471179134,0.02774035930151264
5.195,2.4026873,8.529739409679907,8.491229724241677,0.03850968543823008
5.2,2.43915262,8.528436187880684,8.478149788634429,0.05028639924625544
5.205,2.47841854,8.53862061309978,8.476069648945009,0.0625509641547719
5.21,2.51879919,8.548687112506629,8.47414893060804,0.07453818189858907
5.215,2.55851272,8.558580141617457,8.472496215354171,0.0860839262632851
