theta_rad,theta_deg,z_m,coh_f1,lag_phase_f1,xcorr_lag_f1,xcorr_corr_f1,coh_f2,lag_phase_f2,xcorr_lag_f2,xcorr_corr_f2
2.0125827937059615,115.31250000000001,-0.0057,0.3828070877267018,-0.09808138490598049,0.004999999999999893,0.755219085610668,0.9971919786299018,-0.004637020396801525,0.004999999999999893,0.755219085610668
2.110757564130642,120.9375,-0.0057,0.3827698949024817,-0.09799732541728294,0.004999999999999893,0.7472186799786358,0.9971421214464669,-0.0053134255867526466,0.004999999999999893,0.7472186799786358
2.2089323345553233,126.5625,-0.0057,0.38277624585514125,-0.09792549804445262,-0.06999999999999851,-0.7368444114332535,0.9970493268198944,-0.005859598530114623,-0.06999999999999851,-0.7368444114332535
2.3071071049800045,132.1875,-0.0057,0.3826318294414799,-0.09800446637068375,-0.06999999999999851,-0.7242846473949338,0.9968595094925694,-0.005671890287626946,-0.06999999999999851,-0.7242846473949338
2.405281875404685,137.8125,-0.0057,0.3831047597610117,-0.0983202172125679,-0.06999999999999851,-0.6828961823500321,0.9960668189668493,-0.005027325405835877,-0.06999999999999851,-0.6828961823500321
2.5034566458293663,143.4375,-0.0057,0.3833686282533669,-0.09839558773057815,-0.06999999999999851,-0.6658460287488617,0.9957108934690037,-0.004900549943114895,-0.06999999999999851,-0.6658460287488617
2.6016314162540475,149.0625,-0.0057,0.38387516655365383,-0.09861769183593051,-0.06999999999999851,-0.6283182873967962,0.994778381377746,-0.004197543308829365,-0.06999999999999851,-0.6283182873967962
2.699806186678728,154.68749999999997,-0.0057,0.3840621931083474,-0.09866481696658609,-0.06999999999999851,-0.6119822690149102,0.9943302213868891,-0.003931479338663937,-0.06999999999999851,-0.6119822690149102
2.7979809571034093,160.3125,-0.0057,0.3845648837354515,-0.09895796730339419,-0.0749999999999984,-0.564870602020586,0.9926230120926893,-0.0023918234843731093,-0.0749999999999984,-0.564870602020586
2.8961557275280905,165.9375,-0.0057,0.38499378936104145,-0.09915782705090896,-0.0749999999999984,-0.5262583722474365,0.9908379904826993,-0.0011250252599775347,-0.0749999999999984,-0.5262583722474365
2.9943304979527716,171.5625,-0.0057,0.3858377214186852,-0.09941193686312541,-0.0749999999999984,-0.469781900025082,0.9876114892985938,0.0005811084243856858,-0.0749999999999984,-0.469781900025082
3.0925052683774528,177.1875,-0.0057,0.3862458937709004,-0.09923484857460628,-0.0749999999999984,-0.47566353679778645,0.9881684743433201,-0.0004684339089691138,-0.0749999999999984,-0.47566353679778645
-3.0925052683774528,-177.1875,-0.0051,0.3878978549185184,-0.10009794876069315,-0.08499999999999819,-0.34011020247581686,0.9732798864520484,0.011152699675385062,-0.08499999999999819,-0.34011020247581686
-2.994330497952771,-171.56249999999997,-0.0051,0.38799300885297805,-0.10003162205787249,-0.08499999999999819,-0.3336533466394863,0.9721313917477139,0.010975185057140575,-0.08499999999999819,-0.3336533466394863
