x_m,x_over_Dh,T_bulk_K,Tw_minus_Tbulk_K,wall_sngrad_K_per_m,wall_face_samples,Nu_local
0.506,21.083333333333332,303.14880501054955,0.0011949894504255099,0.39999999955853127,2,8.033543715374558
0.51,21.25,303.14888647640197,0.0011135235980077596,0.39999999955853127,2,8.621281135469797
0.514,21.416666666666668,303.14896144142136,0.0010385585786139018,0.299999999811007,2,6.932685496732934
0.518,21.583333333333332,303.14903248084397,0.0009675191560063467,0.299999999811007,2,7.441713118305367
0.522,21.75,303.14909722487505,0.0009027751249277571,0.299999999811007,2,7.975408046428322
0.526,21.916666666666668,303.14915786340913,0.0008421365908475309,0.299999999811007,2,8.549681932497492
0.53,22.083333333333336,303.14921689727913,0.0007831027208453634,0.19999999949504854,2,6.1294640666036
0.534,22.25,303.14926916046636,0.000730839533616745,0.19999999949504854,2,6.567789189135878
0.538,22.416666666666668,303.1493186440866,0.0006813559134002389,0.19999999949504854,2,7.044776296028961
0.542,22.583333333333336,303.149364285397,0.0006357146029927208,0.19999999949504854,2,7.550558010283944
0.546,22.75,303.1494083198222,0.0005916801777630099,0.19999999949504854,2,8.112490781808386
0.55,22.916666666666668,303.14944712159905,0.0005528784009243282,0.19999999949504854,2,8.681836692944232
0.554,23.083333333333336,303.14948534813993,0.0005146518600440686,0.19999999949504854,2,9.326693169767521
0.558,23.25,303.1495200699611,0.0004799300388640404,0.19999999949504854,2,10.001457710883063
0.562,23.416666666666668,303.14955331149355,0.0004466885064289272,0.09999999974752427,2,5.372871608288062
0.5660000000000001,23.583333333333336,303.1495841898944,0.0004158101055509178,0.09999999974752427,2,5.77186547874001
0.5700000000000001,23.750000000000004,303.14961063742356,0.0003893625764135322,0.09999999974752427,2,6.1639205699923325
0.5740000000000001,23.916666666666668,303.1496371171572,0.0003628828427508779,0.09999999974752427,2,6.613704786225461
0.578,24.083333333333332,303.1496619888951,0.00033801110487274855,0.09999999974752427,2,7.100358418236328
0.582,24.249999999999996,303.1496845585785,0.0003154414214918688,0.09999999974752427,2,7.608385679312086
0.586,24.416666666666664,303.14970738478615,0.0002926152138229554,0.09999999974752427,2,8.20189751101829
0.59,24.583333333333332,303.14972678845083,0.0002732115491426157,0.09999999974752427,2,8.784401689724284
0.594,24.75,303.1497449583565,0.0002550416434701219,0.09999999974752427,2,9.410227919197604
0.598,24.916666666666664,303.14976285285945,0.00023714714052402996,0.09999999974752427,2,10.120299104755142
0.602,25.083333333333332,303.14977851304815,0.00022148695182977463,0.09999999974752427,2,10.83585274036874
0.606,25.25,303.1497935024985,0.00020649750149459578,0.09999999974752427,2,11.622416622815132
0.61,25.416666666666664,303.1498072515269,0.00019274847306860465,0.09999999974752427,2,12.451460474534366
0.614,25.583333333333332,303.1498199777899,0.000180022210088282,0.09999999974752427,2,13.331688310923603
0.618,25.75,303.14983202220964,0.0001679777903405011,0.09999999974752427,2,14.287603075833049
0.622,25.916666666666664,303.14984394780674,0.00015605219323333586,0.0,2,0.0
0.626,26.083333333333332,303.14985437312606,0.00014562687391617146,0.0,2,0.0
0.63,26.25,303.14986442754025,0.00013557245972606324,0.0,2,0.0
0.634,26.416666666666668,303.14987335147157,0.00012664852840771346,0.0,2,0.0
0.638,26.583333333333332,303.1498826085509,0.00011739144906641741,0.0,2,0.0
0.642,26.75,303.149890463076,0.00010953692395787584,0.0,2,0.0
0.646,26.916666666666668,303.14989860521945,0.0001013947805290627,0.0,2,0.0
0.65,27.083333333333332,303.14990422765135,9.577234862945261e-05,0.0,2,0.0
0.654,27.25,303.1499106385342,8.936146576843385e-05,0.0,2,0.0
0.658,27.416666666666668,303.1499173148252,8.268517478882131e-05,0.0,2,0.0
0.662,27.583333333333336,303.14992258634106,7.741365891433816e-05,0.0,2,0.0
0.666,27.75,303.14992863187126,7.136812871522125e-05,0.0,2,0.0
0.67,27.916666666666668,303.1499325552471,6.744475285813678e-05,0.0,2,0.0
