pair,lag_samples,lag_s,te_bits,surr_mean_bits,surr_p95_bits,excess_te_bits
Ux_3D->T_3D,16,0.16,0.07267036468,0.06621930613,0.07757721069,0.006451058542
Ux_3D->T_3D,17,0.17,0.07663303637,0.06679736525,0.0774256114,0.00983567112
Ux_3D->T_3D,18,0.18,0.08632202702,0.06674959124,0.0815394779,0.01957243578
Ux_3D->T_3D,19,0.19,0.09416777643,0.06798286661,0.07957244627,0.02618490981
Ux_3D->T_3D,20,0.2,0.1130273949,0.06807267955,0.08262047155,0.04495471537
Ux_3D->T_3D,21,0.21,0.1079987905,0.06836228126,0.08274529076,0.03963650921
Ux_3D->T_3D,22,0.22,0.1022661721,0.06849797952,0.07975798501,0.03376819257
Ux_3D->T_3D,23,0.23,0.1173631919,0.06714778102,0.07929292247,0.0502154109
Ux_3D->T_3D,24,0.24,0.1243683573,0.06781833713,0.08310230614,0.0565500202
Ux_3D->T_3D,25,0.25,0.1136313534,0.06828430468,0.08198737593,0.04534704872
Ux_3D->T_3D,26,0.26,0.1224261992,0.06811751484,0.07941908924,0.05430868441
Ux_3D->T_3D,27,0.27,0.09642286726,0.06901611118,0.0817814365,0.02740675608
Ux_3D->T_3D,28,0.28,0.09522685272,0.06890969897,0.08127613168,0.02631715375
Ux_3D->T_3D,29,0.29,0.09359668132,0.06793441165,0.08015507694,0.02566226966
Ux_3D->T_3D,30,0.3,0.08864576496,0.06948316876,0.08085137302,0.0191625962
Ux_3D->T_3D,31,0.31,0.08779087935,0.06924613006,0.08380145045,0.01854474928
Ux_3D->T_3D,32,0.32,0.08083586407,0.06960077948,0.08250953523,0.01123508459
Ux_3D->T_3D,33,0.33,0.08320065002,0.07085400023,0.08823248256,0.01234664978
Ux_3D->T_3D,34,0.34,0.08641775976,0.0694630534,0.08454671862,0.01695470636
Ux_3D->T_3D,35,0.35,0.09040410058,0.07067123236,0.08236150219,0.01973286822
Ux_3D->T_3D,36,0.36,0.09523913386,0.06981367119,0.08192540078,0.02542546267
Ux_3D->T_3D,37,0.37,0.09224854289,0.06925571562,0.081149017,0.02299282727
Ux_3D->T_3D,38,0.38,0.08877599188,0.07031842671,0.08568848859,0.01845756517
Ux_3D->T_3D,39,0.39,0.08145871372,0.07040754758,0.08322680765,0.01105116614
Ux_3D->T_3D,40,0.4,0.1024124537,0.06997970671,0.0848599365,0.032432747
T_3D->Ux_3D,1,0.01,0.1245733898,0.09376293684,0.1130932123,0.03081045299
T_3D->Ux_3D,2,0.02,0.137296129,0.09217641801,0.1049481103,0.04511971102
T_3D->Ux_3D,3,0.03,0.1044214359,0.09344034888,0.1089086993,0.01098108702
T_3D->Ux_3D,4,0.04,0.1051343643,0.09304974056,0.1080420806,0.01208462371
T_3D->Ux_3D,5,0.05,0.1115024235,0.09467203596,0.1105734471,0.01683038754
T_3D->Ux_3D,6,0.06,0.1090710519,0.09514292168,0.1100325801,0.01392813021
T_3D->Ux_3D,7,0.07,0.1306055656,0.09211242623,0.1056550873,0.03849313935
T_3D->Ux_3D,8,0.08,0.1435491244,0.09476501301,0.1103441812,0.04878411135
T_3D->Ux_3D,9,0.09,0.1442367024,0.09238805998,0.1102689834,0.05184864242
T_3D->Ux_3D,10,0.1,0.1393002184,0.09560284156,0.1122976149,0.04369737689
T_3D->Ux_3D,11,0.11,0.1468793469,0.0964618038,0.1140715016,0.05041754308
T_3D->Ux_3D,12,0.12,0.1518964822,0.09402323982,0.1146649337,0.05787324238
T_3D->Ux_3D,13,0.13,0.1574240488,0.09458302538,0.1128495461,0.06284102343
T_3D->Ux_3D,14,0.14,0.1405178726,0.09531347754,0.112838923,0.04520439506
T_3D->Ux_3D,15,0.15,0.1502373808,0.09437685941,0.108822528,0.05586052141
T_3D->Ux_3D,16,0.16,0.1803598416,0.09392338065,0.1123366182,0.08643646099
T_3D->Ux_3D,17,0.17,0.1621756834,0.09395025956,0.1090009743,0.06822542381
T_3D->Ux_3D,18,0.18,0.1284752942,0.09535663947,0.1126336226,0.03311865478
T_3D->Ux_3D,19,0.19,0.1310316123,0.09431609654,0.1095065128,0.03671551576
T_3D->Ux_3D,20,0.2,0.1399629594,0.09688481337,0.1116548961,0.04307814607
