phase_bin,phase_deg,x_m,x_mm,Nu_fin_z_min,Nu_fin_z_max
1,33.75,-0.010205877499999998,-10.205877499999998,nan,nan
1,33.75,-0.0098597325,-9.8597325,10.26611183209196,10.265400496144217
1,33.75,-0.0095135875,-9.5135875,nan,nan
1,33.75,-0.009167442500000001,-9.167442500000002,nan,nan
1,33.75,-0.008821297499999999,-8.821297499999998,9.227132356198249,9.226454933357273
1,33.75,-0.0084751525,-8.4751525,nan,nan
1,33.75,-0.0081290075,-8.1290075,nan,nan
1,33.75,-0.0077828625,-7.7828625,8.640320543451592,8.639913969651868
1,33.75,-0.0074367175,-7.4367175,nan,nan
1,33.75,-0.0070905725,-7.0905724999999995,nan,nan
1,33.75,-0.0067444275000000005,-6.7444275000000005,8.19846959134247,8.1983943195419
1,33.75,-0.0063982825,-6.3982825,6.152562887338087,6.1524064556471165
1,33.75,-0.0060521375,-6.0521375,5.225193840985024,5.226062667772938
1,33.75,-0.0057059925,-5.7059925,2.861350207007119,2.8612514902746784
1,33.75,-0.005359847500000001,-5.359847500000001,4.3749346586941735,4.374807348067945
1,33.75,-0.005013702500000001,-5.013702500000001,5.869170964714771,5.877223860676134
1,33.75,-0.0046675575,-4.6675575,2.481004097933303,2.4808975231824
1,33.75,-0.0043214125,-4.3214125,4.810524454691174,4.804875224952509
1,33.75,-0.003975267500000001,-3.9752675000000006,5.802719272272995,5.833747070988458
1,33.75,-0.003629122500000001,-3.6291225000000007,3.0025581386991513,3.003932614763375
1,33.75,-0.0032829775,-3.2829775,4.270126244685842,4.280423292352396
1,33.75,-0.0029368325,-2.9368325,5.751471332680602,5.688700097918755
1,33.75,-0.002590687500000001,-2.590687500000001,3.502789878996714,3.510823117250654
1,33.75,-0.002244542500000001,-2.244542500000001,1.7654418816127941,1.768986994270965
1,33.75,-0.0018983975000000002,-1.8983975000000002,5.43356554113268,5.438768808335049
1,33.75,-0.0015522525000000002,-1.5522525000000003,2.8640362090530256,2.8695531125030995
1,33.75,-0.0012061075000000011,-1.2061075000000012,1.9334221497631157,1.9362893012836222
1,33.75,-0.0008599625000000012,-0.8599625000000012,4.524421794590363,4.527493789533768
1,33.75,-0.0005138175000000004,-0.5138175000000004,2.088701513271213,2.0917339999953457
