pair,source,target,category,lag_s,te_bits,surrogate_mean_bits,surrogate_p95_bits,surrogate_p99_bits,excess_over_p95_bits,z_score,p_empirical,significant_p95,significant_p99
Q_wall->POD_U_3,Q_wall,POD_U_3,modal,0.3200000000000003,0.12320404655274589,0.08064279418009004,0.10201146736845046,0.12956264623707756,0.02119257918429543,3.4985801306126,0.0199203187250996,True,False
POD_U_3->Q_wall,POD_U_3,Q_wall,modal_reverse,0.040000000000000036,0.09919534863652765,0.04852454574907377,0.07570409869424717,0.08335613579809904,0.02349124994228048,3.244279898244213,0.00398406374501992,True,True
Q_wall->POD_U_4,Q_wall,POD_U_4,modal,0.020000000000000018,0.1262883792658183,0.07552921403847042,0.11008251404426063,0.12877602891801723,0.01620586522155766,2.289490161802892,0.01593625498007968,True,False
POD_U_4->Q_wall,POD_U_4,Q_wall,modal_reverse,0.3200000000000003,0.08262172426952552,0.0540891251217153,0.07496551568599796,0.08140389070459521,0.007656208583527557,2.524081517481277,0.01195219123505976,True,True
Q_wall->POD_T_1,Q_wall,POD_T_1,modal,0.040000000000000036,0.10448047960884686,0.0895238762816826,0.12482700312885632,0.1414681146868215,-0.020346523520009457,0.6946785608760675,0.250996015936255,False,False
POD_T_1->Q_wall,POD_T_1,Q_wall,modal_reverse,0.08000000000000007,0.25429433266348633,0.1302029886838234,0.20316226341615468,0.22584523359574893,0.05113206924733166,2.750390636411979,0.00398406374501992,True,True
Q_wall->POD_T_2,Q_wall,POD_T_2,modal,0.3200000000000003,0.09937667006193131,0.06492469941903581,0.08768644401013223,0.09426148309439153,0.011690226051799077,2.0526129095033396,0.00398406374501992,True,True
POD_T_2->Q_wall,POD_T_2,Q_wall,modal_reverse,0.020000000000000018,0.17458701745630986,0.09706783439641556,0.1449552857092801,0.15451514823974036,0.029631731747029766,2.507888595109683,0.00398406374501992,True,True
Q_wall->POD_T_3,Q_wall,POD_T_3,modal,0.020000000000000018,0.11955126692239838,0.07944746393669025,0.10984171724583904,0.1384514746554056,0.009709549676559348,1.909709862772506,0.03187250996015936,True,False
POD_T_3->Q_wall,POD_T_3,Q_wall,modal_reverse,0.020000000000000018,0.08629807936478133,0.042527991790431374,0.06767521316393142,0.09032806734372247,0.018622866200849908,3.0222205189206783,0.01593625498007968,True,False
Q_wall->POD_T_4,Q_wall,POD_T_4,modal,0.020000000000000018,0.12636169532095684,0.07874040501093786,0.11582009144031487,0.13040471134098142,0.010541603880641973,2.2873988573619597,0.01593625498007968,True,False
POD_T_4->Q_wall,POD_T_4,Q_wall,modal_reverse,0.3200000000000003,0.06812025914460954,0.05449351472828644,0.07055292444590625,0.07623260421236853,-0.0024326653012967103,1.246019782709958,0.14342629482071714,False,False
Q_wall->POD_joint_1,Q_wall,POD_joint_1,modal,0.040000000000000036,0.1224748377286473,0.0902289274249739,0.13591085635337777,0.15383764214553317,-0.01343601862473047,1.248524046138861,0.10756972111553785,False,False
POD_joint_1->Q_wall,POD_joint_1,Q_wall,modal_reverse,0.08000000000000007,0.25264853959435835,0.1241492391613718,0.19600691349661412,0.24032163063981052,0.05664162609774423,2.940860980553592,0.00796812749003984,True,True
Q_wall->POD_joint_2,Q_wall,POD_joint_2,modal,0.040000000000000036,0.16079156522379565,0.09422730215530375,0.12974100472286298,0.15405884295961786,0.03105056050093266,2.9948665591333588,0.00796812749003984,True,True
POD_joint_2->Q_wall,POD_joint_2,Q_wall,modal_reverse,0.040000000000000036,0.2737572684570264,0.14213603500229857,0.2175002482942541,0.24843118382633944,0.056257020162772314,2.6255991032590114,0.00398406374501992,True,True
Q_wall->POD_joint_3,Q_wall,POD_joint_3,modal,0.3200000000000003,0.12346015930977564,0.08725120323911306,0.11345835241430223,0.11966024068076599,0.010001806895473406,2.1091821548381695,0.00398406374501992,True,True
POD_joint_3->Q_wall,POD_joint_3,Q_wall,modal_reverse,0.040000000000000036,0.08236188263863958,0.048305697240056004,0.07286644647861515,0.08995454106809388,0.009495436160024434,2.1743146055549545,0.035856573705179286,True,False
Q_wall->POD_joint_4,Q_wall,POD_joint_4,modal,0.3200000000000003,0.11680679289534278,0.07945617693502333,0.10521129743623642,0.10805127221622189,0.011595495459106361,2.6646778990386197,0.00398406374501992,True,True
POD_joint_4->Q_wall,POD_joint_4,Q_wall,modal_reverse,0.16000000000000014,0.061182036917882154,0.05146571878722618,0.06893986115527048,0.0818467104204621,-0.007757824237388328,0.8684593028909775,0.16733067729083664,False,False
