lag_s,te_bits,surrogate_mean_bits,surrogate_p95_bits,surrogate_p99_bits,z_score,p_empirical,pair
0.1599999999999966,0.14163657483671613,0.07337667895662747,0.11382193860111238,0.12246053486712784,3.0439947273092542,0.00398406374501992,Cl->Q_fins
0.23999999999999488,0.45185811843867973,0.13149149598997412,0.18095517948396098,0.20138861180801262,11.77125300562828,0.00398406374501992,Cl->Q_fins
0.3199999999999932,0.13621763558920935,0.10856079764954539,0.14389044919804939,0.15454459169498852,1.059151811906454,0.15139442231075698,Cl->Q_fins
0.47999999999998977,0.2131681857839726,0.15319265906305748,0.24054383158304135,0.27709018470410435,1.2570382923791878,0.11553784860557768,Cl->Q_fins
0.004999999999999893,0.02775803443674813,0.028164734446884863,0.04726401221864884,0.05171957739580771,-0.03363338590805282,0.5219123505976095,Q_fins->Cl
0.009999999999999787,0.05647212827229492,0.05356047285244512,0.09134833072624476,0.09726712112008065,0.12079080306162393,0.44621513944223107,Q_fins->Cl
0.019999999999999574,0.13063717497400132,0.11201762860287151,0.17769695848667225,0.21680693975449067,0.4687952924950994,0.3426294820717131,Q_fins->Cl
0.03999999999999915,0.1561135817935768,0.137722808540294,0.23526228979901154,0.2729809676154348,0.3668617376356231,0.3426294820717131,Q_fins->Cl
0.05999999999999872,0.1066210039283055,0.09065322393896383,0.15834131191695633,0.16849108912203486,0.4399966270499228,0.3386454183266932,Q_fins->Cl
0.0799999999999983,0.04484699546231581,0.03320275323471601,0.053642773614201694,0.0642064698087723,0.9237770814787912,0.17928286852589642,Q_fins->Cl
0.11999999999999744,0.143434977574818,0.1242734286122201,0.19960528839691813,0.21337727170561738,0.45476953392314373,0.3426294820717131,Q_fins->Cl
0.1599999999999966,0.03354515206156341,0.04503997350805069,0.0734149233976051,0.08111060051744119,-0.6508717647072116,0.6892430278884463,Q_fins->Cl
0.23999999999999488,0.06528903932924338,0.07907023448258298,0.12349637605458984,0.1398974646274956,-0.490136786597776,0.6892430278884463,Q_fins->Cl
0.3199999999999932,0.06947449644028861,0.0892869331494951,0.13434364291372178,0.13932758711762058,-0.6496704330962022,0.6533864541832669,Q_fins->Cl
0.47999999999998977,0.11204799656988959,0.12268162160031224,0.1926745650749755,0.20865304721767083,-0.23092728120992026,0.5776892430278885,Q_fins->Cl
0.004999999999999893,0.03426102754578947,0.014478986221795843,0.03107110714943193,0.03863872579280485,2.605409335485849,0.035856573705179286,Cl->Nu_tube
0.009999999999999787,0.05967409897032899,0.02583975720354723,0.052275025227025984,0.0759386849842976,2.408071485197066,0.043824701195219126,Cl->Nu_tube
0.019999999999999574,0.1212430208092206,0.049591583517994836,0.1075169338878853,0.13937077598910008,2.582267381919012,0.0398406374501992,Cl->Nu_tube
0.03999999999999915,0.19276465064516354,0.0682388769870471,0.14787667415392436,0.16598159154314554,3.5135514135968444,0.00398406374501992,Cl->Nu_tube
0.05999999999999872,0.18946112568984477,0.06681396927971354,0.13982966613983977,0.15539985372030596,3.642029801718007,0.00398406374501992,Cl->Nu_tube
0.0799999999999983,0.15432531158642104,0.058230963604541046,0.10357945644997292,0.13443624764191386,4.13934600878167,0.00398406374501992,Cl->Nu_tube
0.11999999999999744,0.08768111948989471,0.056331212277288205,0.08262783461097754,0.09768117334765852,2.098394884442167,0.03187250996015936,Cl->Nu_tube
0.1599999999999966,0.12182256163300192,0.056203989570672686,0.0764995400931307,0.08307343605844106,4.9185944893646685,0.00398406374501992,Cl->Nu_tube
0.23999999999999488,0.1413261509651956,0.04849664428991538,0.06705482195187044,0.07112200706793917,9.811147558434504,0.00398406374501992,Cl->Nu_tube
0.3199999999999932,0.09536188788228785,0.04219722108186777,0.05497803353142653,0.06255396763588449,7.742490001307753,0.00398406374501992,Cl->Nu_tube
0.47999999999998977,0.12382128795654038,0.06267501033484847,0.1018133753719804,0.1223444133057996,3.1322131996835134,0.01195219123505976,Cl->Nu_tube
0.004999999999999893,0.02454150799560531,0.008906044866846376,0.019708325907849426,0.027241236250115586,3.0218278241457663,0.03187250996015936,Nu_tube->Cl
0.009999999999999787,0.04507193770152987,0.01760117880558222,0.04265599742707017,0.05186167195157641,2.466890878876985,0.05179282868525897,Nu_tube->Cl
0.019999999999999574,0.0662109401320207,0.038985779895004784,0.06942910428294385,0.08698842859739611,1.8316420467180834,0.06374501992031872,Nu_tube->Cl
0.03999999999999915,0.07861411712494516,0.05336649432682076,0.09206464378133405,0.10782241452629615,1.4052738618408465,0.099601593625498,Nu_tube->Cl
0.05999999999999872,0.07185192514675355,0.030742440142043203,0.055201438563318286,0.07398755195794793,3.308866031151977,0.0199203187250996,Nu_tube->Cl
0.0799999999999983,0.011033895691512004,0.01389565413002588,0.02407296097866402,0.02870556597992522,-0.507584084506416,0.6533864541832669,Nu_tube->Cl
0.11999999999999744,0.07543614722992868,0.041314798793437836,0.06144282936909605,0.06686964896906135,3.061101769731465,0.00796812749003984,Nu_tube->Cl
