x_m,x_mm,mean_min,mean_max,rms_min,rms_max,sym_mean,anti_mean,A1_min,A1_max,A2_min,A2_max,phase1_min,phase1_max,phase2_min,phase2_max,coh_min,coh_max,lag_min,lag_max,corr_min,corr_max,fin_pair_corr,active_min,active_max,valid_min,valid_max
-0.0043214125,-4.3214125,4.81009531598081,4.804513666920449,0.03609860012368276,0.03598970561178641,4.807304491450616,-0.002790824530178168,0.012736904525444138,0.012550622276873338,0.008879675417882668,0.008842907139320226,-1.3065376536164781,-1.3029870791991323,2.3937394477022482,2.383757660531256,0.5897987695523764,0.5938374562212433,-0.0799999999999983,-0.0799999999999983,-0.4262095082674967,-0.42447699854125115,0.999909233924562,1.0,1.0,1.0,1.0
-0.003975267500000001,-3.9752675000000006,5.802076871791275,5.833141253259586,0.04329620337602384,0.04348711755525333,5.817609062525414,0.015532190734160338,0.015366491670378676,0.01530226473010917,0.010524335246184947,0.010553672995331505,-1.3075280598634866,-1.3028641427359016,2.388787833791688,2.3784601945286075,0.5926428623313216,0.5974190699925295,-0.0799999999999983,-0.0799999999999983,-0.41646487601128457,-0.416251150302606,0.9999454548011452,1.0,1.0,1.0,1.0
-0.003629122500000001,-3.6291225000000007,3.002314699917275,3.003747133847888,0.022618309502474458,0.022596720864199036,3.0030309168825826,0.0007162169653070227,0.007969490062429432,0.007841797309603339,0.005584497233928171,0.005572251953737767,-1.30668728722612,-1.3022600218017832,2.39029373885461,2.3752051364387996,0.5877969974529861,0.5925336416576843,-0.0799999999999983,-0.0799999999999983,-0.432874434630757,-0.4323771345331294,0.9998564119749682,0.0,0.0,1.0,1.0
-0.0032829775,-3.2829775,4.269787493856198,4.280168216237023,0.032203247885946404,0.032232209591299625,4.2749778550466075,0.005190361190406992,0.011321373080306217,0.011161138845933916,0.007986503852996596,0.007982726776460322,-1.305012769851496,-1.3005820477288015,2.3933906104981917,2.3778782277288886,0.5878929280164612,0.592784615793623,-0.0799999999999983,-0.0799999999999983,-0.4348473703134307,-0.4342877341393312,0.9998537705526802,1.0,1.0,1.0,1.0
-0.0029368325,-2.9368325,5.75083710748336,5.688143288547259,0.042995657669337245,0.04254047632881128,5.719490198015317,-0.03134690946804139,0.015262243192714605,0.014906411184184346,0.010459078947057141,0.010375549655441242,-1.307381880757604,-1.300115905686738,2.385490641351069,2.3748721126804413,0.5919627807338184,0.5975436838123226,-0.0799999999999983,-0.0799999999999983,-0.4199887202371362,-0.4225365747667278,0.9999063702935345,1.0,1.0,1.0,1.0
-0.002590687500000001,-2.590687500000001,3.5025608897981804,3.5106977385477403,0.026593420852480388,0.02661031185834496,3.5066293141729594,0.004068424374776538,0.009327408285823967,0.009139200346837895,0.006632885668999715,0.006629927656822363,-1.3053438378805615,-1.300153217223359,2.3874890913429625,2.3661097695301594,0.5843046132805334,0.5900254083630265,-0.0799999999999983,-0.0799999999999983,-0.4459363405209178,-0.44571480896514176,0.9997284977729959,0.0,0.0,1.0,1.0
-0.002244542500000001,-2.244542500000001,1.765349840319673,1.7689622794809237,0.01346777815792229,0.013472694803158913,1.7671560599003031,0.0018062195806267597,0.004721911199701764,0.004600033805683705,0.0033679923062718575,0.0033645604903287203,-1.3075529501695289,-1.3018873508726008,2.3817945293800986,2.354413579014949,0.5807200877817467,0.586697724757179,-0.0799999999999983,-0.0799999999999983,-0.4534712935623328,-0.45367465516146666,0.999578330891034,0.0,0.0,1.0,1.0
-0.0018983975000000002,-1.8983975000000002,5.43300781261651,5.438289310498661,0.04080516159421693,0.040756721431743186,5.4356485615575725,0.002640748941077726,0.014465635759984736,0.014218959920892105,0.009982757871004836,0.00995579802565629,-1.3070369037982157,-1.299266612052702,2.383894565543435,2.3681715174805844,0.5895452333518714,0.5972331465744144,-0.0799999999999983,-0.0799999999999983,-0.4281114175706366,-0.4266451375546339,0.9998198787473777,1.0,1.0,1.0,1.0
-0.0015522525000000002,-1.5522525000000003,2.8639121706544635,2.869569363609297,0.02195862842081527,0.021963120863083996,2.8667407671318785,0.0028285964774189478,0.007677801706212968,0.007436113370727951,0.0055249299612421775,0.0055227966300268215,-1.3060861634289989,-1.2997478360267634,2.3826375743512553,2.350451131588604,0.578471398965894,0.5852782720381883,-0.0799999999999983,-0.0799999999999983,-0.46124316428679457,-0.46186038547931096,0.9993896479858232,0.0,0.0,1.0,1.0
-0.0012061075000000011,-1.2061075000000012,1.9333469132458974,1.936313138653226,0.01481019161833699,0.01480899385253999,1.9348300259495599,0.0014831127036647905,0.0051937008572979825,0.005018070812888899,0.003714787499050507,0.0037107027580957066,-1.309901650359424,-1.3037916350937995,2.3811875874471053,2.346296450162501,0.5767370108461982,0.5832769138518648,-0.0799999999999983,-0.0799999999999983,-0.45920231778493453,-0.4603307344017139,0.9993207926717051,0.0,0.0,1.0,1.0
-0.0008599625000000012,-0.8599625000000012,4.523956870573703,4.527093634092711,0.034001465505799904,0.03393840611685688,4.525525252333203,0.0015683817595061357,0.0120843676213263,0.01182984886327565,0.008301981293105491,0.008266622366057057,-1.308993120725558,-1.298941997462288,2.3812107974865944,2.3618530323700564,0.5882298390925034,0.5977166552648434,-0.0799999999999983,-0.0799999999999983,-0.4289605075758741,-0.42730575255613984,0.9997370532876738,1.0,1.0,1.0,1.0
-0.0005138175000000004,-0.5138175000000004,2.088617653095912,2.0917877781649774,0.0158960165160568,0.01591595454425979,2.0902027156304395,0.0015850625345335317,0.0056983482850143955,0.005448863993110125,0.0038579279282722266,0.003857553177504346,-1.3302058734006705,-1.3244981778932763,2.3649605860616076,2.313027323165429,0.5680380343288219,0.5755823382630887,0.0749999999999984,0.0749999999999984,-0.44424505362555455,-0.4493479394327018,0.998829363944728,0.0,0.0,1.0,1.0
